,action,left,light,next_waypoint,oncoming,reward,right
169,left,None,red,left,None,-1.0,None
170,right,None,red,left,None,0.5,None
171,right,None,red,right,None,2.0,None
172,right,None,green,right,None,2.0,None
173,None,None,green,forward,None,1.0,None
174,None,None,green,forward,None,1.0,None
175,forward,None,green,forward,None,2.0,None
176,forward,None,green,forward,None,2.0,None
177,None,None,red,left,None,1.0,None
178,right,None,red,left,None,0.5,None
179,None,None,green,right,None,1.0,None
180,None,None,green,right,None,1.0,None
181,right,None,green,right,None,2.0,None
182,left,None,green,right,None,0.5,None
183,None,None,red,left,None,1.0,None
184,left,None,red,left,None,-1.0,None
185,None,None,red,left,None,1.0,None
186,None,None,red,left,None,1.0,None
187,left,None,green,left,None,2.0,None
188,right,None,red,left,None,0.5,None
189,None,None,green,right,None,1.0,None
190,right,None,green,right,None,2.0,None
191,forward,None,green,right,None,0.5,None
192,None,None,red,right,None,1.0,None
193,left,None,red,right,None,-1.0,None
194,forward,None,red,right,None,-1.0,None
195,None,None,red,right,None,1.0,None
196,None,None,red,right,None,1.0,None
197,left,None,green,right,None,0.5,None
198,right,None,red,left,None,0.5,None
199,left,None,red,right,None,-1.0,None
200,left,None,green,right,None,0.5,None
201,right,None,green,left,None,0.5,None
202,forward,None,green,forward,None,2.0,None
203,right,None,green,forward,None,0.5,None
204,forward,None,red,left,None,-1.0,None
205,None,None,red,left,None,1.0,None
206,None,None,red,left,None,1.0,None
207,None,None,green,left,None,1.0,None
208,right,None,green,left,None,0.5,None
209,None,None,green,right,None,1.0,None
210,forward,None,green,right,None,0.5,None
211,left,None,green,forward,None,0.5,None
212,forward,None,red,right,None,-1.0,None
213,left,None,red,right,None,-1.0,None
214,right,None,red,right,None,2.0,None
215,None,None,red,forward,None,1.0,None
216,forward,None,red,forward,None,-1.0,None
217,left,None,green,forward,None,0.5,None
218,forward,None,green,right,None,0.5,None
219,None,None,red,right,None,1.0,None
220,right,None,red,right,None,2.0,None
221,forward,None,green,forward,None,2.0,None
222,right,None,green,left,None,0.5,None
223,forward,None,red,right,None,-1.0,None
224,None,None,red,right,None,1.0,None
225,left,None,red,right,None,-1.0,None
226,right,None,red,right,None,2.0,None
227,right,None,red,right,None,2.0,None
228,right,None,red,right,None,2.0,None
229,right,None,red,left,None,0.5,None
230,forward,None,green,right,None,0.5,None
231,None,None,green,right,None,1.0,None
232,left,None,red,right,None,-1.0,None
233,right,None,red,right,None,2.0,None
234,None,None,red,right,None,1.0,None
235,forward,None,red,right,None,-1.0,None
236,right,None,red,right,None,2.0,None
237,None,None,green,right,None,1.0,None
238,right,None,green,right,None,2.0,None
239,None,None,red,left,None,1.0,None
240,None,None,red,left,None,1.0,None
241,None,None,red,left,None,1.0,None
242,None,None,green,left,None,1.0,None
243,forward,None,green,left,None,0.5,None
244,forward,None,green,right,None,0.5,None
245,left,None,green,right,None,0.5,None
246,None,None,red,left,right,1.0,None
247,None,None,green,left,None,1.0,None
248,None,None,green,left,None,1.0,None
249,left,None,green,left,None,2.0,None
250,forward,None,red,forward,None,-1.0,None
251,left,None,green,forward,None,0.5,None
252,forward,None,red,right,None,-1.0,None
253,right,None,red,right,None,2.0,None
254,forward,None,green,right,None,0.5,None
255,right,None,green,right,None,2.0,None
256,right,None,green,right,None,2.0,None
257,left,None,red,left,None,-1.0,None
258,right,None,red,left,None,0.5,None
259,right,None,green,right,None,2.0,None
260,right,None,red,right,None,2.0,None
261,left,None,red,right,None,-1.0,None
262,left,None,red,right,None,-1.0,None
263,left,None,red,right,None,-1.0,None
264,None,None,green,right,None,1.0,None
265,forward,None,green,right,None,0.5,None
266,forward,None,red,right,None,-1.0,None
267,right,None,green,right,None,2.0,None
268,left,None,red,left,None,-1.0,None
269,forward,None,green,left,None,0.5,None
270,left,None,red,right,None,-1.0,None
271,forward,None,red,right,None,-1.0,None
272,None,None,green,right,None,1.0,None
273,right,None,green,right,None,2.0,None
274,left,None,green,right,None,0.5,None
275,left,None,green,right,None,0.5,None
276,right,None,red,left,None,0.5,None
277,right,None,green,right,None,2.0,None
278,None,None,red,right,None,1.0,None
279,left,None,red,right,None,-1.0,None
280,left,None,red,right,None,-1.0,None
281,left,None,red,right,None,-1.0,None
282,right,None,green,right,None,2.0,None
283,left,None,green,forward,None,0.5,None
284,None,None,red,right,None,1.0,None
285,right,None,red,right,None,2.0,None
286,right,None,green,forward,None,0.5,None
287,right,None,red,left,None,0.5,None
288,forward,None,red,right,None,-1.0,None
289,None,None,red,right,None,1.0,None
290,None,None,red,right,None,1.0,None
291,None,None,red,right,None,1.0,None
292,forward,None,green,right,None,0.5,None
293,left,None,red,right,None,-1.0,None
294,left,None,red,right,None,-1.0,None
295,right,None,red,right,None,2.0,None
296,right,None,red,right,None,2.0,None
297,None,None,red,forward,None,1.0,None
298,forward,None,red,forward,None,-1.0,None
299,None,None,red,forward,None,1.0,None
300,forward,None,red,forward,None,-1.0,None
301,forward,None,red,forward,None,-1.0,None
302,forward,None,green,forward,None,2.0,None
303,right,None,green,forward,None,0.5,None
304,left,None,green,left,None,2.0,None
305,right,None,green,right,None,2.0,None
306,None,None,red,forward,None,1.0,None
307,left,None,red,forward,None,-1.0,None
308,left,None,green,forward,None,0.5,None
309,right,None,red,right,None,2.0,None
310,forward,None,red,right,forward,-1.0,None
311,left,None,red,right,forward,-1.0,None
312,None,None,green,right,None,1.0,None
313,right,None,green,right,None,2.0,None
